instance_id,N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,replication,method,threshold,delta,max_platoon_size,Pmax,run_role,point_index,time_s,incumbent_total_delay,incumbent_average_delay,best_bound_total_delay,best_bound_average_delay,mip_gap
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,CHP,4,4,,,uniform_600s,7,0.05379796028137207,51.0,2.55,50.99999999999534,2.549999999999767,9.139530091345603e-14
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,PP,4,4,4,4,uniform_600s,0,0.00023508071899414062,145.0,7.25,-1e+100,-5e+98,6.896551724137932e+97
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,PP,4,4,4,4,uniform_600s,1,0.001965045928955078,79.0,3.95,0.0,0.0,1.0
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,PP,4,4,4,4,uniform_600s,2,0.0030231475830078125,60.0,3.0,0.0,0.0,1.0
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,PP,4,4,4,4,uniform_600s,3,0.005474090576171875,58.0,2.9,25.017094017092916,1.2508547008546458,0.5686707928087429
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,PP,4,4,4,4,uniform_600s,4,0.005502939224243164,57.0,2.85,25.017094017092916,1.2508547008546458,0.561103613735212
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,PP,4,4,4,4,uniform_600s,5,0.008691072463989258,52.99999999998056,2.649999999999028,31.189810470570592,1.5594905235285297,0.41151300998901824
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,PP,4,4,4,4,uniform_600s,6,0.02062392234802246,50.99999999999534,2.549999999999767,38.61879987232497,1.9309399936162486,0.24276862995434315
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,PP,4,4,4,4,uniform_600s,7,0.05035710334777832,51.0,2.55,50.99999999999534,2.549999999999767,9.139530091345603e-14
N20_lambda0p5_rep006_seed13045314652017274494,20,0.5,0.5,0.5,0.125,6,NP,,,1,1,uniform_600s,0,0.002353191375732422,426.9999999999991,21.349999999999955,0.0,0.0,1.0
N20_lambda0p5_rep006_seed13045314652017274494,20,0.5,0.5,0.5,0.125,6,NP,,,1,1,uniform_600s,1,0.004273176193237305,47.0,2.35,0.0,0.0,1.0
N20_lambda0p5_rep006_seed13045314652017274494,20,0.5,0.5,0.5,0.125,6,NP,,,1,1,uniform_600s,2,0.0054891109466552734,39.0,1.95,0.0,0.0,1.0
N20_lambda0p5_rep006_seed13045314652017274494,20,0.5,0.5,0.5,0.125,6,NP,,,1,1,uniform_600s,3,0.030572175979614258,34.999999999999886,1.7499999999999942,26.6095489861616,1.33047744930808,0.23972717182395184
N20_lambda0p5_rep006_seed13045314652017274494,20,0.5,0.5,0.5,0.125,6,NP,,,1,1,uniform_600s,4,0.07021212577819824,35.0,1.75,34.999999999999886,1.7499999999999942,3.2481953634747436e-15
N20_lambda0p5_rep006_seed13045314652017274494,20,0.5,0.5,0.5,0.125,6,CHP,4,4,,,uniform_600s,0,0.0001628398895263672,125.0,6.25,-1e+100,-5e+98,8e+97
N20_lambda0p5_rep006_seed13045314652017274494,20,0.5,0.5,0.5,0.125,6,CHP,4,4,,,uniform_600s,1,0.0016510486602783203,37.0,1.85,0.0,0.0,1.0
